pos,title,artist,last_pos,peak_pos,streak
1,Walk Like An Egyptian,The Bangles,1,1,15
2,Everybody Have Fun Tonight,Wang Chung,2,2,14
3,Notorious,Duran Duran,3,3,10
4,Shake You Down,Gregory Abbott,4,4,12
5,The Way It Is,Bruce Hornsby & The Range,5,1,16
6,C'est La Vie,Robbie Nevil,6,6,13
7,Control,Janet Jackson,7,7,10
8,War,Bruce Springsteen,8,8,7
9,Stand By Me,Ben E. King,9,4,28
10,Don't Get Me Wrong,Pretenders,10,10,13
11,To Be A Lover,Billy Idol,11,6,14
12,Is This Love,Survivor,12,12,11
13,Land Of Confusion,Genesis,13,13,10
14,Victory,Kool & The Gang,14,14,10
15,At This Moment,Billy Vera & The Beaters,15,15,9
16,Love Is Forever,Billy Ocean,16,16,11
17,You Know I Love You ... Don't You?,Howard Jones,17,17,12
18,Someday,Glass Tiger,18,18,10
19,"The Future's So Bright, I Gotta Wear Shades",Timbuk 3,19,19,11
20,Hip To Be Square,Huey Lewis & The News,20,3,12
21,The Next Time I Fall,Peter Cetera With Amy Grant,21,1,16
22,Open Your Heart,Madonna,22,22,5
23,All I Wanted,Kansas,23,23,10
24,You Give Love A Bad Name,Bon Jovi,24,1,18
25,Coming Around Again,Carly Simon,25,25,10
26,Change Of Heart,Cyndi Lauper,26,26,6
27,Touch Me (I Want Your Body),Samantha Fox,27,27,10
28,Falling In Love (Uh-Oh),Miami Sound Machine,28,28,10
29,You Be Illin',Run-D.M.C.,29,29,11
30,Keep Your Hands To Yourself,The Georgia Satellites,30,30,7
31,Two People,Tina Turner,31,31,7
32,For Tonight,Nancy Martinez,32,32,14
33,Word Up,Cameo,33,6,17
34,This Is The Time,Billy Joel,34,34,8
35,We're Ready,Boston,35,35,5
36,Will You Still Love Me?,Chicago,36,36,8
37,Talk To Me,Chico DeBarge,37,37,9
38,Human,The Human League,38,1,17
39,Love You Down,Ready For The World,39,39,6
40,Stop To Love,Luther Vandross,40,40,8
41,Love Will Conquer All,Lionel Richie,41,9,14
42,You Got It All,The Jets,42,42,8
43,Ballerina Girl,Lionel Richie,43,43,5
44,Stay The Night,Benjamin Orr,44,44,9
45,Goldmine,The Pointer Sisters,45,33,10
46,Nobody's Fool,Cinderella,46,46,9
47,Tasty Love,Freddie Jackson,47,41,9
48,Livin' On A Prayer,Bon Jovi,48,48,4
49,I'll Be Alright Without You,Journey,49,49,5
50,Big Time,Peter Gabriel,50,50,6
51,Wild Wild Life,Talking Heads,51,25,18
52,Jimmy Lee,Aretha Franklin,52,52,5
53,Crazay,Jesse Johnson (Featuring Sly Stone),53,53,11
54,I Need Your Loving,The Human League,54,54,5
55,Caught Up In The Rapture,Anita Baker,55,55,6
56,Heartache Away,Don Johnson,56,56,7
57,True Blue,Madonna,57,3,14
58,Amanda,Boston,58,1,15
59,Take Me Home Tonight,Eddie Money,59,4,21
60,Can't Help Falling In Love,Corey Hart,60,60,4
61,French Kissin,Debbie Harry,61,61,7
62,Facts Of Love,Jeff Lorber & Karyn White,62,62,5
63,Brand New Lover,Dead Or Alive,63,63,6
64,I'll Be Over You,Toto,64,11,19
65,I Wanna Go Back,Eddie Money,65,65,3
66,The Best Man In The World,Ann Wilson ,66,66,6
67,"Somewhere Out There (From ""An American Tail"")",Linda Ronstadt & James Ingram,67,67,3
68,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,68,68,3
69,(Forever) Live And Die,Orchestral Manoeuvres In The Dark,69,19,15
70,I'm Not Perfect (But I'm Perfect For You),Grace Jones,70,70,6
71,The Rain, Oran 'Juice' Jones,71,9,17
72,Girlfriend,Bobby Brown,72,72,3
73,We Connect,Stacey Q,73,73,4
74,Some People,Paul Young,74,65,8
75,Goin' To The Bank,Commodores,75,65,10
76,Suburbia,Pet Shop Boys,76,76,5
77,Without Your Love,Toto,77,77,2
78,Welcome To The Boomtown,David & David,78,37,14
79,I Didn't Mean To Turn You On,Robert Palmer,79,2,21
80,Candy,Cameo,80,80,2
81,True To You,Ric Ocasek,81,81,3
82,Graceland,Paul Simon,82,82,5
83,This Is The World Calling,Bob Geldof,83,83,4
84,All Cried Out,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,84,8,24
85,Foolish Pride,Daryl Hall,85,33,12
86,Emotion In Motion,Ric Ocasek,86,15,18
87,Don't Leave Me This Way,The Communards,87,87,2
88,Miami,Bob Seger,88,70,8
89,Blame It On The Radio,John Parr,89,88,4
90,Someone, El DeBarge,90,90,2
91,Dancin' In My Sleep,Secret Ties,91,91,4
92,(I Know) I'm Losing You,Uptown,92,92,2
93,A Trick Of The Night,Bananarama,93,93,2
94,Nail It To The Wall,Stacy Lattisaw,94,48,12
95,Thorn In My Side,Eurythmics,95,68,8
96,If I Say Yes,Five Star,96,96,2
97,True Colors,Cyndi Lauper,97,1,19
98,Sweet Love,Anita Baker,98,8,21
99,Freedom Overspill,Steve Winwood,99,20,15
100,Every Beat Of My Heart,Rod Stewart,100,83,6
