pos,title,artist,last_pos,peak_pos,streak
1,How You Remind Me,Nickelback,1,1,18
2,U Got It Bad,Usher,2,1,16
3,Family Affair,Mary J. Blige,3,1,24
4,Get The Party Started,P!nk,4,4,11
5,Always On Time,Ja Rule Featuring Ashanti,7,5,8
6,My Sacrifice,Creed,9,6,11
7,"Whenever, Wherever",Shakira,6,6,11
8,Hero,Enrique Iglesias,5,3,15
9,Differences,Ginuwine,8,4,24
10,A Woman's Worth,Alicia Keys,11,10,11
11,Livin' It Up,Ja Rule Featuring Case,10,6,19
12,Gone,'N Sync,13,11,16
13,Wherever You Will Go,The Calling,15,13,9
14,Rock The Boat,Aaliyah,16,14,18
15,In The End,Linkin Park,26,15,10
16,I Do!!,Toya,17,16,32
17,Turn Off The Light,Nelly Furtado,12,5,21
18,We Thuggin',Fat Joe Featuring R. Kelly,22,18,11
19,Butterflies,Michael Jackson,21,19,8
20,Hey Baby,No Doubt Featuring Bounty Killer,27,20,5
21,Superman (It's Not Easy),Five For Fighting,14,14,19
22,Caramel,City High Featuring Eve,23,19,13
23,Only Time,Enya,19,10,26
24,Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,20,20,12
25,#1,Nelly,25,22,12
26,I'm Real,Jennifer Lopez Featuring Ja Rule,18,1,27
27,7 Days,Craig David,35,27,5
28,Roll Out (My Business),Ludacris,34,28,9
29,Fallin',Alicia Keys,24,1,30
30,Break Ya Neck,Busta Rhymes,41,30,9
31,Son Of A Gun,"Janet Featuring Missy Elliott, P. Diddy & Carly Simon",28,28,7
32,Emotion,Destiny's Child,29,10,15
33,It's Been Awhile,Staind,31,5,39
34,Standing Still,Jewel,36,34,8
35,"Lights, Camera, Action!",Mr. Cheeks,38,35,13
36,Dig In,Lenny Kravitz,32,31,13
37,Hanging By A Moment,Lifehouse,40,2,48
38,Where Were You (When The World Stopped Turning),Alan Jackson,30,30,7
39,The Whole World,OutKast Featuring Killer Mike,51,39,3
40,Bouncin' Back (Bumpin' Me Against The Wall),Mystikal,47,40,4
41,Alive,P.O.D.,45,41,10
42,Drops Of Jupiter (Tell Me),Train,42,5,43
43,Uh Huh,B2K,-1,43,1
44,I Wanna Talk About Me,Toby Keith,33,28,13
45,Good Morning Beautiful,Steve Holy,39,39,6
46,Run,George Strait,37,34,11
47,Blurry,Puddle Of Mudd,54,47,3
48,No More Drama,Mary J. Blige,53,48,4
49,Can't Fight The Moonlight,LeAnn Rimes,57,49,25
50,Take Away,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",60,50,4
51,The World's Greatest,R. Kelly,59,51,2
52,Brotha,Angie Stone,61,52,9
53,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,74,53,2
54,You Gets No Love,Faith Evans,49,38,14
55,Young'n (Holla Back),Fabolous,62,55,6
56,I'm Tryin',Trace Adkins,44,44,12
57,Lifetime,Maxwell,55,22,18
58,Welcome To Atlanta,Jermaine Dupri & Ludacris,70,58,2
59,Wrapped Around,Brad Paisley,48,48,8
60,Wrapped Up In You,Garth Brooks,46,46,11
61,Riding With Private Malone,David Ball,43,36,11
62,Round And Round,Jonell & Method Man,98,62,4
63,Wish You Were Here,Incubus,69,60,16
64,Everywhere,Michelle Branch,58,12,19
65,From Her Mama (Mama Got A**),Juvenile,75,65,9
66,"Girls, Girls, Girls",JAY-Z,52,17,13
67,Goodbye,Jagged Edge,65,58,8
68,Let's Stay Home Tonight,Joe,68,68,3
69,Don't You Forget It,Glenn Lewis,77,69,6
70,Bring On The Rain,Jo Dee Messina With Tim McGraw,56,56,5
71,Fade,Staind,76,62,12
72,Part II,Method Man & Redman,85,72,3
73,AM To PM,Christina Milian,82,27,20
74,Dance With Me,112,72,39,17
75,Nothing In This World,KeKe Wyatt Featuring Avant,-1,75,1
76,Chop Suey,System Of A Down,-1,76,1
77,Defy You,The Offspring,-1,77,1
78,Wasting My Time,Default,-1,78,1
79,The Long Goodbye,Brooks & Dunn,66,66,3
80,The Star Spangled Banner,Whitney Houston,89,6,26
81,God Bless The USA,Lee Greenwood,73,16,15
82,Stuck In A Moment You Can't Get Out Of,U2,78,52,15
83,Smooth Criminal,Alien Ant Farm,79,23,20
84,I'm A Slave 4 U,Britney Spears,64,27,12
85,Love Of A Woman,Travis Tritt,67,39,17
86,Control,Puddle Of Mudd,86,68,13
87,With Me,Lonestar,71,63,11
88,Love Of My Life,Brian McKnight,84,51,17
89,Fatty Girl,"Ludacris, LL Cool J & Keith Murray",91,87,10
90,Ugly,Bubba Sparxxx,88,15,19
91,Got Ur Self A...,Nas,93,91,4
92,Never Too Far/Hero Medley,Mariah Carey,81,81,2
93,Drowning,Backstreet Boys,80,28,12
94,Where I Come From,Alan Jackson,83,34,20
95,Thank You,Lil Bow Wow Featuring Jagged Edge & Fundisha,-1,95,1
96,Do U Wanna Roll (Dolittle Theme),"R.L., Snoop Dogg & Lil' Kim",96,84,14
97,Ooohhhwee,Master P Featuring Weebie,63,63,2
98,You Rock My World,Michael Jackson,90,10,18
99,What Am I Gonna Do,Tyrese,94,71,15
100,God Bless America,Daniel Rodriguez,99,99,2
